300016 d  -  1  2  0  0 -5  + -3 -4  -1  -3  10  -8  -8  -1   0   9  -2  -8  13 -14  -9   2   0 -16 +(1103)
300018 a  +  - -2  0 -3 -6 -3  4 -2  -6   +   3  -3   6  -8  12  -9  12  -5 -12   2 -14   0   9   7 +(1613)
300021 a -2  +  2  1  4  2  0  1  1  -6   0   1   2  -1  -2   4  10 -10  -5   0  -6   2   7  -1   + +(1031)
300021 b -2  - -2  3  6  6  6  7 -1   6  -2  -5  -6  -1   8 -12  -6  -4 -11 -10   6  12 -15  15   + +(1031)
300021 c -1  + -2  1  5 -1  6  1 -4  -6  -9   4  -2 -10 -13 -10   8 -10   4  12  -3   5 -13   7   + -(1031)
300022 a  + -1 -4 -1  0  4 -6  0  6 -10  -3  -9   3  -3   5  -5   3   0  -2 -10  -9   8   0  -6   3 -(150011)
300022 b  - -1 -2 -1 -6 -6 -2  6 -2   8  -3   7   3   9  -3  -9  -9  -8  -8  -6  -9  -4  12  10 -17 +(150011)
300023 a  1  0  2 -2  1 -1 -2 -2 -2  -6  -1   9  12  -8   4  -3   8 -14  12  -9  -6  -8   1   6  -7 -(300023)
300024 a  -  + -4 -2  0 -4  6  0 -2   3   5   0 -10  -5  -3   6 -11 -13   9  -6   6 -11 -14   9 -17 +(463)
300024 b  -  + -3  1  6 -3 -6  6 -1   6   4  -3   8  -1 -10   3   9  -8  12  12  -7 -14 -14   5  18 +(463)
300024 c  -  - -2  2 -1  2  2 -1 -4  -2   5   7   0  -4   0  -5   8  -4  12  -2 -11  11   5 -13  -7 +(463)
300024 d  +  +  2  2  1  2 -2 -1  4   2   5   7   0  -4   0   5  -8  -4  12   2 -11  11  -5  13  -7 +(463)
300024 e  +  +  3  1 -6 -3  6  6  1  -6   4  -3  -8  -1  10  -3  -9  -8  12 -12  -7 -14  14  -5  18 +(463)
300024 f  +  +  4 -2  0 -4 -6  0  2  -3   5   0  10  -5   3  -6  11 -13   9   6   6 -11  14  -9 -17 +(463)
300025 a  0  3  + -1  - -5  2 -3 -1  -8   5   8   2   0  -1  -6 -10  14  -2   0   6   4  -6 -18   2 -(1091)
300025 b  1  0  +  2  +  4  6 -8  8  -2   8 -12   6  -8   8  -4  -8   6   6  -8  -4  -8  -4 -18  10 -(1091)
300025 c  1  2  +  2  + -7  4  6 -4   6  -2   8 -11  -1  -2  12 -13  14  -8   0   3  -7   3   8   1 +(1091)
300025 d  2 -1  + -1  - -1 -4 -3  7   6 -11   2   2 -10 -13   0  10 -10  -8  12   6   8   0 -14  10 -(1091)
300025 e  2  3  + -1  +  7  0 -7  3   4  -7  -4  -6   0  -9   6   6   4  -2  12  -6   4 -12  10  -2 +(1091)
300026 a  +  2  0 -3  3  0  0 -4 -4  -1  -4   2  12   7  -8  -4  12 -10   -   8  -1   1  -5  12   8 +(2239)
